,Category
533,1
534,3
535,3
536,0
537,1
538,2
539,0
540,1
541,2
542,2
543,2
544,3
545,0
546,3
547,4
548,2
549,1
550,1
551,0
552,1
553,0
554,4
555,4
556,2
557,0
558,2
559,0
560,4
561,4
562,0
563,2
564,0
565,1
566,0
567,0
568,1
569,2
570,0
571,1
572,0
573,2
574,4
575,3
576,4
577,3
578,4
579,3
580,0
581,1
582,1
583,3
584,3
585,0
586,2
587,1
588,1
589,1
590,0
591,3
592,0
593,0
594,0
595,0
596,0
597,4
598,1
599,3
600,3
601,2
602,1
603,1
604,0
605,1
606,0
607,2
608,4
609,1
610,0
611,0
612,2
613,1
614,4
615,0
616,1
617,4
618,4
619,3
620,2
621,3
622,0
623,4
624,4
625,0
626,2
627,0
628,1
629,1
630,0
631,4
632,1
633,1
634,3
635,3
636,4
637,3
638,4
639,2
640,4
641,1
642,4
643,2
644,2
645,0
646,0
647,1
648,3
649,3
650,0
651,1
652,2
653,2
654,0
655,4
656,3
657,3
658,2
659,1
660,3
661,3
662,0
663,2
664,0
665,4
666,1
667,2
668,3
669,3
670,1
671,2
672,0
673,3
674,2
675,2
676,3
677,0
678,1
679,2
680,0
681,1
682,4
683,0
684,1
685,2
686,1
687,2
688,4
689,3
690,3
691,0
692,0
693,1
694,3
695,4
696,4
697,1
698,2
699,4
700,0
701,4
702,1
703,0
704,3
705,0
706,0
707,0
708,3
709,3
710,1
711,0
712,3
713,2
714,3
715,4
716,0
717,4
718,4
719,2
720,1
721,1
722,3
723,0
724,3
725,3
726,1
727,4
728,0
729,0
730,0
731,2
732,3
733,1
734,2
735,0
736,1
737,1
738,3
739,0
740,3
741,4
742,0
743,3
744,1
745,1
746,4
747,0
748,3
749,2
750,1
751,3
752,0
753,0
754,0
755,2
756,3
757,1
758,4
759,1
760,1
761,0
762,2
763,0
764,4
765,4
766,2
767,3
768,2
769,0
770,3
771,0
772,2
773,3
774,1
775,3
776,1
777,2
778,3
779,3
780,1
781,4
782,4
783,1
784,4
785,3
786,3
787,1
788,4
789,1
790,4
791,4
792,3
793,3
794,3
795,4
796,4
797,1
798,3
799,2
800,4
801,0
802,3
803,0
804,0
805,2
806,2
807,0
808,2
809,2
810,3
811,2
812,3
813,3
814,0
815,4
816,3
817,1
818,3
819,2
820,4
821,1
822,3
823,3
824,0
825,1
826,1
827,4
828,4
829,1
830,4
831,2
832,2
833,3
834,0
835,2
836,2
837,4
838,2
839,4
840,1
841,2
842,4
843,2
844,3
845,3
846,2
847,0
848,2
849,1
850,0
851,0
852,3
853,3
854,1
855,2
856,3
857,3
858,1
859,3
860,2
861,1
862,4
863,1
864,4
865,3
866,2
867,3
868,4
869,1
870,4
871,0
872,4
873,1
874,2
875,3
876,0
877,4
878,0
879,0
880,4
881,3
882,3
883,4
884,2
885,2
886,0
887,4
888,1
889,0
890,2
891,0
892,0
893,3
894,2
895,0
896,3
897,2
898,1
899,1
900,4
901,0
902,4
903,2
904,3
905,2
906,4
907,2
908,1
909,0
910,1
911,0
912,2
913,2
914,1
915,4
916,3
917,2
918,2
919,2
920,2
921,2
922,3
923,0
924,3
925,4
926,0
927,1
928,2
929,3
930,0
931,3
932,3
933,2
934,3
935,4
936,0
937,4
938,4
939,1
940,2
941,4
942,1
943,3
944,2
945,2
946,0
947,3
948,0
949,1
950,4
951,4
952,3
953,2
954,4
955,4
956,2
957,0
958,1
959,4
960,0
961,0
962,2
963,2
964,4
965,3
966,2
967,1
968,4
969,2
970,3
971,0
972,3
973,2
974,3
975,0
976,4
977,1
978,1
979,0
980,3
981,1
982,2
983,3
984,2
985,3
986,3
987,1
988,2
989,0
990,1
991,0
992,4
993,2
994,3
995,3
996,0
997,0
998,3
999,0
1000,3
1001,3
1002,4
1003,3
1004,3
1005,2
1006,2
1007,1
1008,0
1009,2
1010,1
1011,4
1012,0
1013,2
1014,3
1015,3
1016,3
1017,4
1018,0
1019,3
1020,3
1021,0
1022,0
1023,2
1024,0
1025,3
1026,0
1027,1
1028,2
1029,0
1030,3
1031,0
1032,4
1033,3
1034,4
1035,4
1036,4
1037,0
1038,2
1039,2
1040,0
1041,1
1042,3
1043,1
1044,2
1045,3
1046,2
1047,1
1048,2
1049,0
1050,4
1051,4
1052,4
1053,2
1054,4
1055,3
1056,4
1057,2
1058,1
1059,1
1060,2
1061,0
1062,1
1063,0
1064,1
1065,0
1066,4
1067,4
1068,2
1069,3
1070,4
1071,4
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,0
1079,3
1080,1
1081,2
1082,4
1083,0
1084,3
1085,0
1086,4
1087,3
1088,3
1089,3
1090,0
1091,1
1092,2
1093,0
1094,2
1095,2
1096,2
1097,4
1098,3
1099,2
1100,0
1101,4
1102,4
1103,2
1104,1
1105,1
1106,0
1107,1
1108,3
1109,3
1110,4
1111,3
1112,3
1113,3
1114,2
1115,1
1116,1
1117,2
1118,2
1119,0
1120,0
1121,3
1122,1
1123,1
1124,3
1125,4
1126,3
1127,4
1128,0
1129,1
1130,2
1131,1
1132,3
1133,0
1134,3
1135,0
1136,4
1137,1
1138,0
1139,3
1140,0
1141,3
1142,1
1143,0
1144,0
1145,0
1146,3
1147,0
1148,3
1149,2
1150,0
1151,3
1152,2
1153,4
1154,0
1155,0
1156,2
1157,0
1158,1
1159,3
1160,4
1161,3
1162,4
1163,1
1164,3
1165,3
1166,3
1167,4
1168,2
1169,0
1170,2
1171,2
1172,3
1173,4
1174,3
1175,0
1176,3
1177,2
1178,4
1179,1
1180,0
1181,0
1182,3
1183,3
1184,3
1185,4
1186,3
1187,2
1188,2
1189,3
1190,1
1191,4
1192,4
1193,4
1194,2
1195,0
1196,1
1197,0
1198,4
1199,3
1200,3
1201,3
1202,0
1203,1
1204,0
1205,4
1206,1
1207,2
1208,3
1209,2
1210,2
1211,1
1212,4
1213,3
1214,2
1215,2
1216,4
1217,3
1218,2
1219,4
1220,4
1221,3
1222,1
1223,3
1224,0
1225,0
1226,0
1227,3
1228,4
1229,4
1230,4
1231,3
1232,1
1233,2
1234,4
1235,2
1236,4
1237,4
1238,3
1239,3
1240,3
1241,4
1242,2
1243,0
1244,3
1245,0
1246,3
1247,2
1248,0
1249,0
1250,0
1251,3
1252,3
1253,2
1254,0
1255,4
1256,0
1257,0
1258,2
1259,2
1260,0
1261,4
1262,2
1263,3
1264,0
1265,1
1266,3
1267,3
1268,1
1269,0
1270,4
1271,4
1272,0
1273,2
1274,0
1275,0
1276,0
1277,0
1278,3
1279,1
1280,3
1281,2
1282,0
1283,0
1284,4
1285,2
1286,3
1287,1
1288,0
1289,4
1290,0
1291,1
1292,4
1293,3
1294,0
1295,4
1296,1
1297,4
1298,2
1299,0
1300,3
1301,2
1302,1
1303,3
1304,2
1305,1
1306,0
1307,2
1308,1
1309,0
1310,4
1311,1
1312,0
1313,3
1314,4
1315,3
1316,1
1317,1
1318,3
1319,1
1320,1
1321,2
1322,2
1323,3
1324,2
1325,4
1326,0
1327,4
1328,2
1329,2
1330,3
1331,1
1332,0
1333,4
1334,0
1335,3
1336,4
1337,4
1338,2
1339,2
1340,4
1341,0
1342,4
1343,3
1344,1
1345,1
1346,0
1347,3
1348,3
1349,4
1350,4
1351,0
1352,4
1353,4
1354,1
1355,3
1356,2
1357,2
1358,4
1359,3
1360,2
1361,3
1362,1
1363,1
1364,2
1365,2
1366,0
1367,1
1368,0
1369,0
1370,1
1371,1
1372,3
1373,0
1374,0
1375,4
1376,0
1377,2
1378,3
1379,2
1380,2
1381,3
1382,0
1383,0
1384,0
1385,0
1386,3
1387,2
1388,1
1389,0
1390,4
1391,4
1392,1
1393,4
1394,4
1395,0
1396,3
1397,1
1398,0
1399,0
1400,0
1401,3
1402,4
1403,3
1404,2
1405,2
1406,3
1407,4
1408,2
1409,1
1410,4
1411,2
1412,4
1413,3
1414,4
1415,2
1416,2
1417,0
1418,1
1419,4
1420,3
1421,4
1422,2
1423,2
1424,0
1425,4
1426,2
1427,0
1428,3
1429,2
1430,4
1431,0
1432,2
1433,4
1434,3
1435,3
1436,2
1437,1
1438,1
1439,1
1440,3
1441,1
1442,4
1443,3
1444,4
1445,0
1446,2
1447,0
1448,3
1449,2
1450,0
1451,3
1452,2
1453,4
1454,2
1455,1
1456,2
1457,4
1458,0
1459,4
1460,4
1461,1
1462,4
1463,2
1464,1
1465,1
1466,0
1467,3
1468,3
1469,1
1470,0
1471,3
1472,2
1473,3
1474,0
1475,2
1476,4
1477,1
1478,2
1479,0
1480,0
1481,3
1482,1
1483,4
1484,0
1485,4
1486,4
1487,0
1488,1
1489,1
